,Mean,Stddev,Median
622,1.8188394,0.23734413,1.8107373
623,1.8145651,0.23720466,1.7991257
624,1.8196738,0.23508498,1.8053207
625,1.8271626,0.23513505,1.8129683
626,1.825367,0.23445818,1.807256
627,1.8308545,0.23528711,1.8181331
628,1.8332793,0.23519485,1.8209176
629,1.8345702,0.2337803,1.8163232
630,1.8356068,0.23104042,1.8193531
631,1.837601,0.23253967,1.8194771
632,1.8416468,0.23246542,1.8255056
633,1.8441746,0.23127398,1.8254503
634,1.8455392,0.23073915,1.8256243
635,1.8474784,0.22828567,1.8275775
636,1.8491865,0.22809377,1.8322839
637,1.851742,0.22963808,1.8329026
638,1.855881,0.22993597,1.836515
639,1.8528924,0.23015735,1.836888
640,1.8594574,0.2266566,1.8383596
641,1.8615348,0.22618473,1.839618
642,1.8607163,0.22424135,1.8387966
643,1.8638973,0.2238159,1.8394566
644,1.864653,0.22551137,1.84143
645,1.8712025,0.22441605,1.844374
646,1.8736563,0.22480544,1.848767
647,1.8761505,0.22654988,1.8520117
648,1.8757956,0.22437598,1.8491837
649,1.8780496,0.2217107,1.8542573
650,1.8835176,0.22121689,1.8598142
651,1.8822213,0.21971898,1.8585074
652,1.886005,0.21933773,1.8618114
653,1.8893013,0.2199283,1.8663327
654,1.8931043,0.2191509,1.8707929
655,1.8943727,0.218012,1.8752556
656,1.8942714,0.2170837,1.8753227
657,1.8956487,0.2161546,1.8727188
658,1.8991055,0.21900581,1.8754942
659,1.8988253,0.21684828,1.8699677
660,1.9018927,0.21877573,1.875145
661,1.9014481,0.21679226,1.8720334
662,1.9008956,0.21413164,1.8752985
663,1.9018527,0.211834,1.8711233
664,1.9044049,0.21263213,1.8808433
665,1.906556,0.21259022,1.8783274
666,1.9081033,0.21197566,1.8830966
667,1.9091402,0.212586,1.8808808
668,1.9120867,0.21281345,1.886689
669,1.9133356,0.21040307,1.8865132
670,1.9123931,0.2112676,1.8862579
671,1.9180052,0.21300769,1.8983878
672,1.9154094,0.21125107,1.891401
673,1.9187541,0.2125255,1.890489
674,1.9224055,0.21313958,1.8941321
675,1.9252609,0.21441756,1.8963301
676,1.9291693,0.21246307,1.9023474
677,1.9293215,0.20963354,1.9048651
678,1.9297243,0.21305308,1.9010868
679,1.9327382,0.21256159,1.9072618
680,1.9313984,0.21243462,1.9054267
681,1.9350153,0.20988344,1.9059296
682,1.9345572,0.20977943,1.9102317
683,1.9326125,0.2081535,1.9072962
684,1.9352139,0.208306,1.908236
685,1.9370962,0.20783016,1.9101005
686,1.9374573,0.20590647,1.9096472
687,1.9374734,0.20430477,1.9109222
688,1.9418542,0.20470548,1.9183725
689,1.9408693,0.20361692,1.915041
690,1.9443821,0.2035062,1.9191306
691,1.948343,0.20424742,1.922148
692,1.9490728,0.20399328,1.9239221
693,1.9555893,0.20594627,1.9330515
694,1.9574269,0.20556769,1.9352367
695,1.959379,0.2060867,1.9338149
696,1.9610974,0.20721051,1.9372176
697,1.9665864,0.2065852,1.9395745
698,1.9654989,0.20410591,1.9499209
699,1.9705157,0.20709425,1.9499055
700,1.9774387,0.21128683,1.9536724
701,1.9789165,0.21064706,1.9583045
702,1.9831856,0.21253628,1.9660363
703,1.98277,0.21262494,1.963942
704,1.9844685,0.20956308,1.9668652
